id,Fleet,Fleet_name,Yr,Sex,variable,value
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,0,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,0,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,0,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,0,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,0,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,0,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,0,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,0,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,0,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,0,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,0,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,0,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,0,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,0,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,0,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,0,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,0,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,0,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,0,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,0,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,1,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,1,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,1,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,1,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,1,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,1,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,1,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,1,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,1,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,1,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,1,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,1,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,1,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,1,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,1,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,1,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,1,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,1,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,1,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,1,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,2,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,2,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,2,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,2,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,2,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,2,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,2,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,2,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,2,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,2,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,2,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,2,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,2,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,2,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,2,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,2,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,2,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,2,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,2,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,2,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,3,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,3,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,3,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,3,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,3,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,3,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,3,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,3,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,3,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,3,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,3,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,3,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,3,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,3,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,3,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,3,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,3,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,3,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,3,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,3,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,4,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,4,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,4,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,4,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,4,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,4,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,4,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,4,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,4,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,4,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,4,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,4,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,4,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,4,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,4,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,4,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,4,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,4,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,4,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,4,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,5,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,5,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,5,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,5,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,5,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,5,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,5,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,5,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,5,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,5,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,5,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,5,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,5,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,5,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,5,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,5,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,5,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,5,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,5,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,5,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,6,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,6,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,6,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,6,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,6,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,6,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,6,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,6,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,6,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,6,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,6,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,6,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,6,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,6,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,6,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,6,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,6,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,6,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,6,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,6,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,7,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,7,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,7,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,7,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,7,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,7,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,7,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,7,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,7,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,7,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,7,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,7,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,7,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,7,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,7,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,7,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,7,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,7,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,7,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,7,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,8,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,8,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,8,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,8,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,8,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,8,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,8,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,8,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,8,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,8,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,8,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,8,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,8,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,8,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,8,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,8,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,8,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,8,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,8,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,8,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,9,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,9,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,9,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,9,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,9,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,9,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,9,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,9,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,9,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,9,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,9,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,9,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,9,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,9,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,9,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,9,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,9,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,9,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,9,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,9,1
01-Diagnostic_1F,1,F01_LL.JP.1,2022,1,10,1
01-Diagnostic_1F,2,F02_LL.JP.2,2022,1,10,1
01-Diagnostic_1F,3,F03_LL.JP.3,2022,1,10,1
01-Diagnostic_1F,4,F04_LL.JP.4,2022,1,10,1
01-Diagnostic_1F,5,F05_LL.TW.4,2022,1,10,1
01-Diagnostic_1F,6,F06_LL.AU.2,2022,1,10,1
01-Diagnostic_1F,7,F07_LL.AU.3,2022,1,10,1
01-Diagnostic_1F,8,F08_LL.NZ.3,2022,1,10,1
01-Diagnostic_1F,9,F09.REC.AU.3,2022,1,10,1
01-Diagnostic_1F,10,F10_REC.NZ.3,2022,1,10,1
01-Diagnostic_1F,11,F11_LL.ALL.1,2022,1,10,1
01-Diagnostic_1F,12,F12_LL.ALL.2,2022,1,10,1
01-Diagnostic_1F,13,F13_LL.ALL.3,2022,1,10,1
01-Diagnostic_1F,14,F14_LL.ALL.4,2022,1,10,1
01-Diagnostic_1F,15,F15_LL.JP.2_early,2022,1,10,1
01-Diagnostic_1F,16,F16_LL.NC.2,2022,1,10,1
01-Diagnostic_1F,17,F17_LL.PF.4,2022,1,10,1
01-Diagnostic_1F,18,S01_INDEX.1-4,2022,1,10,1
01-Diagnostic_1F,19,S02_INDEX.NZ,2022,1,10,1
01-Diagnostic_1F,20,S03_INDEX.AU,2022,1,10,1
